wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_docstring_metric,test_docstring_stefan,test_nll,test_match_nll,score,number_of_edges
launch-acdc-docstring-00048,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0039810717055349,False,1,602669927,docstring,4,attn-only-4l,9.32015895843506,3.6828596591949454,-0.0599999986588954,12.300382614135742,10.738739013671877,inf,27
launch-acdc-docstring-00049,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.01,False,1,3201324901,docstring,4,attn-only-4l,9.337029457092283,3.681325674057007,-0.0599999986588954,12.32275104522705,10.76110553741455,inf,3
launch-acdc-docstring-00050,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0251188643150958,False,1,1773794558,docstring,4,attn-only-4l,9.337029457092283,3.681325674057007,-0.0599999986588954,12.32275104522705,10.76110553741455,inf,0
launch-acdc-docstring-00051,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.0630957344480193,False,1,2714869100,docstring,4,attn-only-4l,9.337029457092283,3.681325674057007,-0.0599999986588954,12.32275104522705,10.76110553741455,inf,0
launch-acdc-docstring-00052,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.1584893192461114,False,1,494039680,docstring,4,attn-only-4l,9.337029457092283,3.681325674057007,-0.0599999986588954,12.32275104522705,10.76110553741455,inf,0
launch-acdc-docstring-00053,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,0.3981071705534973,False,1,1641608773,docstring,4,attn-only-4l,9.337029457092283,3.681325674057007,-0.0599999986588954,12.32275104522705,10.76110553741455,inf,0
launch-acdc-docstring-00054,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,kl_div,1.0,False,1,1778605339,docstring,4,attn-only-4l,9.337029457092283,3.681325674057007,-0.0599999986588954,12.32275104522705,10.76110553741455,inf,0
launch-acdc-docstring-00055,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0001,False,1,1093937761,docstring,4,attn-only-4l,9.225218772888184,3.734564781188965,-0.0399999991059303,12.243428230285645,10.681784629821776,inf,1117
launch-acdc-docstring-00056,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0002511886431509,False,1,1483055924,docstring,4,attn-only-4l,9.223600387573242,3.781802892684937,-0.0399999991059303,12.239702224731444,10.678057670593262,inf,843
launch-acdc-docstring-00057,jailbreak_llm,pariya_mehrbod,acdc-docstring,cuda,docstring_metric,0.0006309573444801,False,1,3852483116,docstring,4,attn-only-4l,9.288415908813477,3.726217269897461,-0.0399999991059303,12.30274486541748,10.74109935760498,inf,502
