wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_nll,test_match_nll,score,number_of_edges
launch-acdc-induction-00065,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,1.0,True,1,3306680558,induction,4,attn-only-4l,11.0567626953125,12.117098808288574,11.10332489013672,inf,4
launch-acdc-induction-00044,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0001,True,0,2252038522,induction,4,attn-only-4l,0.0031131578143686,1.0189743041992188,0.005200944840908,inf,286
launch-acdc-induction-00045,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0002511886431509,True,0,3240991056,induction,4,attn-only-4l,0.0073066381737589,1.0352874994277954,0.021514106541872,inf,263
launch-acdc-induction-00046,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0006309573444801,True,0,2765342301,induction,4,attn-only-4l,0.0344437062740325,1.0432519912719729,0.0294786728918552,inf,220
launch-acdc-induction-00047,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0015848931924611,True,0,3610091782,induction,4,attn-only-4l,0.0825260207056999,1.079321026802063,0.0655477643013,inf,183
launch-acdc-induction-00048,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0039810717055349,True,0,602669927,induction,4,attn-only-4l,0.1200227662920951,1.1477323770523071,0.133959025144577,inf,145
launch-acdc-induction-00049,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.01,True,0,3201324901,induction,4,attn-only-4l,0.3577912151813507,1.3546653985977173,0.3408921658992767,inf,86
launch-acdc-induction-00050,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0251188643150958,True,0,1773794558,induction,4,attn-only-4l,0.6314906477928162,1.549087643623352,0.5353144407272339,inf,46
launch-acdc-induction-00051,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.0630957344480193,True,0,2714869100,induction,4,attn-only-4l,0.8094221353530884,1.711980938911438,0.6982077956199646,inf,31
launch-acdc-induction-00052,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.1584893192461114,True,0,494039680,induction,4,attn-only-4l,1.1330097913742063,2.0820491313934326,1.0682756900787354,inf,27
launch-acdc-induction-00053,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,0.3981071705534973,True,0,1641608773,induction,4,attn-only-4l,1.5900917053222656,2.5463762283325195,1.5326030254364014,inf,19
launch-acdc-induction-00054,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,kl_div,1.0,True,0,1778605339,induction,4,attn-only-4l,3.8229706287384033,4.764551162719727,3.750777721405029,inf,10
launch-acdc-induction-00055,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0001,True,0,1093937761,induction,4,attn-only-4l,0.00265171402134,1.022993564605713,0.0092202862724661,inf,296
launch-acdc-induction-00056,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0002511886431509,True,0,1483055924,induction,4,attn-only-4l,0.0066736289300024,1.0165574550628662,0.0027842312119901,inf,289
launch-acdc-induction-00057,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0006309573444801,True,0,3852483116,induction,4,attn-only-4l,0.0262547396123409,1.0158896446228027,0.0021162878256291,inf,269
launch-acdc-induction-00058,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0015848931924611,True,0,2994995279,induction,4,attn-only-4l,0.0907537266612052,1.077505588531494,0.0637322813272476,inf,225
launch-acdc-induction-00059,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0039810717055349,True,0,1038460552,induction,4,attn-only-4l,0.1709305793046951,1.1850037574768066,0.1712304055690765,inf,173
launch-acdc-induction-00060,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.01,True,0,1517267923,induction,4,attn-only-4l,0.4057900011539459,1.3742176294326782,0.3604441583156585,inf,96
launch-acdc-induction-00061,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0251188643150958,True,0,4133284902,induction,4,attn-only-4l,0.7174001932144165,1.6115957498550415,0.597822368144989,inf,52
launch-acdc-induction-00062,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.0630957344480193,True,0,3251076505,induction,4,attn-only-4l,0.7497001886367798,1.6565656661987305,0.642792284488678,inf,38
launch-acdc-induction-00063,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.1584893192461114,True,0,3141121207,induction,4,attn-only-4l,0.8910403847694397,1.797385811805725,0.7836126089096069,inf,20
launch-acdc-induction-00064,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,0.3981071705534973,True,0,2592672107,induction,4,attn-only-4l,1.5900917053222656,2.5463762283325195,1.5326030254364014,inf,19
launch-acdc-induction-00065,jailbreak_llm,pariya_mehrbod,acdc-induction,cuda,nll,1.0,True,0,3306680558,induction,4,attn-only-4l,3.8229706287384033,4.764551162719727,3.7507777214050293,inf,10
